exp_key,epoch,task_key,feature,num_diags,max_diag_level,0_acc_balanced,1_acc_balanced,4_acc_balanced,0_acc_pathological,0_acc_normal,1_acc_normal,1_acc_organic,1_acc_muscle_tension,1_acc_functional,4_acc_normal,4_acc_hyperfunctional_dysphonia,4_acc_recurrent_paralysis,4_acc_functional_dysphonia,4_acc_reinkes_edema,4_acc_laryngitis,4_acc_psychogenic_dysphonia,4_acc_vocal_fold_polyp,4_acc_leukoplakia
mfccdd_a_0_25_commonvoice,76,a_n,MFCCDD,1,0,0.8027758397288947,,,0.8417721518987342,0.7637795275590551,,,,,,,,,,,,,
mfccdd_a_0_25_emodb,84,a_n,MFCCDD,1,0,0.7940546197548091,,,0.8164556962025317,0.7716535433070866,,,,,,,,,,,,,
mfccdd_a_0_25_librispeech,80,a_n,MFCCDD,1,0,0.7900428585667298,,,0.7848101265822784,0.7952755905511811,,,,,,,,,,,,,
mfccdd_a_0_50_commonvoice,118,a_n,MFCCDD,1,0,0.8067128476029104,,,0.8417721518987342,0.7716535433070866,,,,,,,,,,,,,
mfccdd_a_0_50_emodb,115,a_n,MFCCDD,1,0,0.7956742748928536,,,0.8354430379746836,0.7559055118110236,,,,,,,,,,,,,
mfccdd_a_0_50_librispeech,91,a_n,MFCCDD,1,0,0.8035482906408851,,,0.8354430379746836,0.7716535433070866,,,,,,,,,,,,,
mfccdd_a_1_25_commonvoice,26,a_n,MFCCDD,1,1,,0.4977140788435927,,,,0.6141732283464567,0.5862068965517241,0.3333333333333333,0.4571428571428571,,,,,,,,,
mfccdd_a_1_25_emodb,67,a_n,MFCCDD,1,1,,0.4997743816505695,,,,0.5826771653543307,0.5402298850574713,0.3333333333333333,0.5428571428571428,,,,,,,,,
mfccdd_a_1_25_librispeech,88,a_n,MFCCDD,1,1,,0.500054896155222,,,,0.5826771653543307,0.5977011494252874,0.3055555555555556,0.5142857142857142,,,,,,,,,
mfccdd_a_1_50_commonvoice,86,a_n,MFCCDD,1,1,,0.4837340914282266,,,,0.5118110236220472,0.5747126436781609,0.3055555555555556,0.5428571428571428,,,,,,,,,
mfccdd_a_1_50_emodb,80,a_n,MFCCDD,1,1,,0.4950789556477853,,,,0.5905511811023622,0.5977011494252874,0.2777777777777778,0.5142857142857142,,,,,,,,,
mfccdd_a_1_50_librispeech,152,a_n,MFCCDD,1,1,,0.4983435260247641,,,,0.6141732283464567,0.4712643678160919,0.2222222222222222,0.6857142857142857,,,,,,,,,
mfccdd_a_4_25_commonvoice,1177,a_n,MFCCDD,1,4,,,0.2760296414225702,,,,,,,0.8267716535433071,0.1944444444444444,0.4571428571428571,0.1904761904761904,0.1764705882352941,0.2857142857142857,0.0714285714285714,0.1818181818181818,0.1
mfccdd_a_4_25_emodb,562,a_n,MFCCDD,1,4,,,0.2819831715925586,,,,,,,0.6535433070866141,0.2222222222222222,0.4,0.238095238095238,0.2941176470588235,0.2857142857142857,0.0714285714285714,0.2727272727272727,0.1
mfccdd_a_4_25_librispeech,632,a_n,MFCCDD,1,4,,,0.2723819913182272,,,,,,,0.7086614173228346,0.1944444444444444,0.3714285714285714,0.238095238095238,0.1764705882352941,0.4285714285714285,0.1428571428571428,0.0909090909090909,0.1
mfccdd_a_4_50_commonvoice,606,a_n,MFCCDD,1,4,,,0.2833664137199725,,,,,,,0.6614173228346457,0.1111111111111111,0.3714285714285714,0.2857142857142857,0.1764705882352941,0.4285714285714285,0.1428571428571428,0.2727272727272727,0.1
mfccdd_a_4_50_emodb,1016,a_n,MFCCDD,1,4,,,0.2642209348014505,,,,,,,0.7322834645669292,0.1944444444444444,0.3428571428571428,0.2857142857142857,0.2941176470588235,0.3571428571428571,0.0714285714285714,0.0,0.1
mfccdd_a_4_50_librispeech,548,a_n,MFCCDD,1,4,,,0.279080062259003,,,,,,,0.6456692913385826,0.1944444444444444,0.3142857142857143,0.3333333333333333,0.2941176470588235,0.2857142857142857,0.0714285714285714,0.2727272727272727,0.1
mfccdd_phrase_0_25_commonvoice,1288,phrase,MFCCDD,1,0,0.906832452905412,,,0.8924050632911392,0.9212598425196852,,,,,,,,,,,,,
mfccdd_phrase_0_25_emodb,1191,phrase,MFCCDD,1,0,0.8974135353333998,,,0.9050632911392406,0.889763779527559,,,,,,,,,,,,,
mfccdd_phrase_0_25_librispeech,1101,phrase,MFCCDD,1,0,0.8997308880693711,,,0.8860759493670886,0.9133858267716536,,,,,,,,,,,,,
mfccdd_phrase_0_50_commonvoice,882,phrase,MFCCDD,1,0,0.9045151001694408,,,0.9113924050632912,0.8976377952755905,,,,,,,,,,,,,
mfccdd_phrase_0_50_emodb,1770,phrase,MFCCDD,1,0,0.8911591747234128,,,0.9240506329113924,0.8582677165354331,,,,,,,,,,,,,
mfccdd_phrase_0_50_librispeech,882,phrase,MFCCDD,1,0,0.8910844214093492,,,0.8924050632911392,0.889763779527559,,,,,,,,,,,,,
mfccdd_phrase_1_25_commonvoice,881,phrase,MFCCDD,1,1,,0.5397230518598969,,,,0.7244094488188977,0.7011494252873564,0.3333333333333333,0.4,,,,,,,,,
