cross_task_key,max_diag_level,exp_key,extra_db,percent_injection,epoch,0_acc_balanced,1_acc_balanced,4_acc_balanced,input_task_key,feature,num_diags,0_acc_normal,0_acc_pathological,1_acc_normal,1_acc_organic,1_acc_muscle_tension,1_acc_functional,4_acc_adductor_spasmodic_dysphonia,4_acc_cyst,4_acc_subglottal_mass,4_acc_hyperfunction,4_acc_normal,4_acc_paralysis,4_acc_vocal_fold_edema,4_acc_conversion_dysphonia,4_acc_paresis,4_acc_abductor_spasmodic_dysphonia,4_acc_laryngeal_tuberculosis,4_acc_scarring,4_acc_subglottis_stenosis,4_acc_hemmoragic_reinkes_edema,4_acc_leukoplakia,4_acc_polypoid_degeneration_reinkes,4_acc_vocal_fold_nodules,4_acc_post_intubation_submucosal_edema_mild,4_acc_varix,4_acc_exudative_hyperkeratotic_lesions_of_epithelium,4_acc_presbyphonia,4_acc_vocal_fold_polyp,4_acc_episodic_functional_dysphonia,4_acc_vocal_tremor,4_acc_hyperkinetic_dysphonia_polyps,4_acc_hyperkinetic_dysphonia_nodule,4_acc_hyperkinetic_dysphonia_vocal_fold_nodules,4_acc_hypokinetic_dysphonia,4_acc_hyperkinetic_dysphonia_adduction_deficit,4_acc_hypokinetic_dysphonia_adduction_deficit,4_acc_hypokinetic_dysphonia_spasmodic_dysphonia,4_acc_hyperkinetic_dysphonia_reinkes_edema,4_acc_hypokinetic_dysphonia_presbiphonia,4_acc_hyperkinetic_dysphonia_rigid_vocal_fold,4_acc_hyperkinetic_dysphonia,4_acc_hypokinetic_dysphonia_conversion_dysphonia,4_acc_hyperkinetic_dysphonia_vocal_fold_paralysis,4_acc_reflux_laryngitis,4_acc_hypokinetic_dysphonia_vocal_fold_paralysis,4_acc_hypokinetic_dysphonia_glottic_insufficiency
cross_test_voiced,4,wav2vec_phrase_4_25_commonvoice,CommonVoiceDeltaSegment20,25,144,,,0.006191950464396284,phrase,Wav2Vec,1,,,,,,,,,,,0.10526315789473684,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cross_test_voiced,4,wav2vec_phrase_4_50_librispeech,LibrispeechDevClean,50,140,,,0.0041279669762641896,phrase,Wav2Vec,1,,,,,,,,,,,0.07017543859649122,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cross_test_voiced,4,wav2vec_phrase_4_25_librispeech,LibrispeechDevClean,25,28,,,0.0010319917440660474,phrase,Wav2Vec,1,,,,,,,,,,,0.017543859649122806,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cross_test_voiced,4,wav2vec_phrase_4_50_emodb,EmoDB,50,102,,,0.0,phrase,Wav2Vec,1,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cross_test_voiced,4,wav2vec_phrase_4_25_emodb,EmoDB,25,22,,,0.0,phrase,Wav2Vec,1,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cross_test_voiced,4,unispeechSAT_phrase_4_50_emodb,EmoDB,50,9,,,0.0,phrase,UnispeechSAT,1,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cross_test_voiced,4,unispeechSAT_phrase_4_25_emodb,EmoDB,25,19,,,0.0,phrase,UnispeechSAT,1,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cross_test_voiced,4,unispeechSAT_phrase_4_25_commonvoice,CommonVoiceDeltaSegment20,25,51,,,0.0,phrase,UnispeechSAT,1,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cross_test_voiced,1,unispeechSAT_phrase_1_50_librispeech,LibrispeechDevClean,50,13,,0.30145074224021595,,phrase,UnispeechSAT,1,,,0.5263157894736842,0.6794871794871795,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross_test_voiced,1,unispeechSAT_phrase_1_50_emodb,EmoDB,50,13,,0.29790823211875844,,phrase,UnispeechSAT,1,,,0.8070175438596491,0.38461538461538464,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
