frame_length,degree,kernel,accuracy,precision,recall,f1_score
0.025,5,linear,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.025,5,poly,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.025,5,rbf,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.025,5,sigmoid,0.6710526315789473,0.6404883894248182,0.6710526315789473,0.6532735753174169
0.025,10,linear,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.025,10,poly,0.7518796992481203,0.7514168945089997,0.7518796992481203,0.6524280934282368
0.025,10,rbf,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.025,10,sigmoid,0.6710526315789473,0.6404883894248182,0.6710526315789473,0.6532735753174169
0.025,15,linear,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.025,15,poly,0.7537593984962406,0.7329437360130727,0.7537593984962406,0.662846896517392
0.025,15,rbf,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.025,15,sigmoid,0.6710526315789473,0.6404883894248182,0.6710526315789473,0.6532735753174169
0.025,20,linear,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.025,20,poly,0.7424812030075187,0.6753799378432414,0.7424812030075187,0.667205253563969
0.025,20,rbf,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.025,20,sigmoid,0.6710526315789473,0.6404883894248182,0.6710526315789473,0.6532735753174169
0.05,5,linear,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.05,5,poly,0.75,0.812617702448211,0.75,0.6447474385041662
0.05,5,rbf,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.05,5,sigmoid,0.6654135338345865,0.6500499840449931,0.6654135338345865,0.6570677800151484
0.05,10,linear,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.05,10,poly,0.7556390977443609,0.7745456797888256,0.7556390977443609,0.6608566871724767
0.05,10,rbf,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.05,10,sigmoid,0.6654135338345865,0.6500499840449931,0.6654135338345865,0.6570677800151484
0.05,15,linear,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.05,15,poly,0.7443609022556391,0.6766754759791827,0.7443609022556391,0.663072154069384
0.05,15,rbf,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.05,15,sigmoid,0.6654135338345865,0.6500499840449931,0.6654135338345865,0.6570677800151484
0.05,20,linear,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.05,20,poly,0.7443609022556391,0.6854562000238692,0.7443609022556391,0.6757468113907993
0.05,20,rbf,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.05,20,sigmoid,0.6654135338345865,0.6500499840449931,0.6654135338345865,0.6570677800151484
0.1,5,linear,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.1,5,poly,0.7518796992481203,0.813675698680664,0.7518796992481203,0.6491148637313365
0.1,5,rbf,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.1,5,sigmoid,0.650375939849624,0.6379036182689735,0.650375939849624,0.6437620736004491
0.1,10,linear,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.1,10,poly,0.7631578947368421,0.7956644484775157,0.7631578947368421,0.6771453089244851
0.1,10,rbf,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.1,10,sigmoid,0.650375939849624,0.6379036182689735,0.650375939849624,0.6437620736004491
0.1,15,linear,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.1,15,poly,0.7462406015037594,0.6912393927851094,0.7462406015037594,0.6792944823673068
0.1,15,rbf,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.1,15,sigmoid,0.650375939849624,0.6379036182689735,0.650375939849624,0.6437620736004491
0.1,20,linear,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.1,20,poly,0.7406015037593985,0.6820866009108794,0.7406015037593985,0.6800512928590723
0.1,20,rbf,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.1,20,sigmoid,0.650375939849624,0.6379036182689735,0.650375939849624,0.6437620736004491
0.2,5,linear,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.2,5,poly,0.7537593984962406,0.8147376948988729,0.7537593984962406,0.6534301051568282
0.2,5,rbf,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.2,5,sigmoid,0.7368421052631579,0.6865258097165993,0.7368421052631579,0.6911228766309189
0.2,10,linear,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.2,10,poly,0.768796992481203,0.7672728788703657,0.768796992481203,0.698890471147527
0.2,10,rbf,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.2,10,sigmoid,0.7368421052631579,0.6865258097165993,0.7368421052631579,0.6911228766309189
0.2,15,linear,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.2,15,poly,0.7443609022556391,0.6917597637819244,0.7443609022556391,0.6867761227032542
0.2,15,rbf,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.2,15,sigmoid,0.7368421052631579,0.6865258097165993,0.7368421052631579,0.6911228766309189
0.2,20,linear,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.2,20,poly,0.7406015037593985,0.6904464156258414,0.7406015037593985,0.691961457804637
0.2,20,rbf,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.2,20,sigmoid,0.7368421052631579,0.6865258097165993,0.7368421052631579,0.6911228766309189
0.5,5,linear,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.5,5,poly,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.5,5,rbf,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.5,5,sigmoid,0.7293233082706767,0.6931298085946822,0.7293233082706767,0.7024690346647912
0.5,10,linear,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.5,10,poly,0.7387218045112782,0.6557109147136847,0.7387218045112782,0.6570202329395949
0.5,10,rbf,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.5,10,sigmoid,0.7293233082706767,0.6931298085946822,0.7293233082706767,0.7024690346647912
0.5,15,linear,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.5,15,poly,0.731203007518797,0.6620636357478462,0.731203007518797,0.6695639808741712
0.5,15,rbf,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.5,15,sigmoid,0.7293233082706767,0.6931298085946822,0.7293233082706767,0.7024690346647912
0.5,20,linear,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.5,20,poly,0.7368421052631579,0.6754741103771574,0.7368421052631579,0.677563655723938
0.5,20,rbf,0.7481203007518797,0.559683984397083,0.7481203007518797,0.6403266230091358
0.5,20,sigmoid,0.7293233082706767,0.6931298085946822,0.7293233082706767,0.7024690346647912
