train_acc,val_acc,log_file
0.765979,0.688312,/home/workspace/data/wav2vec_large_nn_latents[6][0]_a_n/16000/nn/results/svd_a.wav2vec_large.1000_0.0001_2_512.log
0.757732,0.688312,/home/workspace/data/wav2vec_large_nn_latents_full/16000/nn/results/svd_a.wav2vec_large.100_0.0001_5_512.log
0.756701,0.688312,/home/workspace/data/wav2vec_large_nn_latents[3][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.001_10_512.log
0.754639,0.688312,/home/workspace/data/wav2vec_large_nn_latents[10][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.001_2_1024.log
0.752577,0.688312,/home/workspace/data/wav2vec_large_nn_latents[9][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.001_10_512.log
0.743299,0.688312,/home/workspace/data/wav2vec_large_nn_latents[2][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.0001_10_1024.log
0.741237,0.688312,/home/workspace/data/wav2vec_large_nn_latents[7][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.001_10_512.log
0.740206,0.688312,/home/workspace/data/wav2vec_large_nn_latents[1][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.0001_10_1024.log
1.000000,0.681818,/home/workspace/data/wav2vec_large_nn_latents[2][0]_a_n/16000/nn/results/svd_a.wav2vec_large.1000_0.001_5_512.log
1.000000,0.681818,/home/workspace/data/wav2vec_large_nn_latents[6][0]_a_n/16000/nn/results/svd_a.wav2vec_large.1000_0.001_5_1024.log
0.976289,0.681818,/home/workspace/data/wav2vec_large_nn_latents[3][0]_a_n/16000/nn/results/svd_a.wav2vec_large.1000_0.001_2_1024.log
0.817526,0.681818,/home/workspace/data/wav2vec_large_nn_latents[1][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.001_10_1024.log
0.800000,0.681818,/home/workspace/data/wav2vec_large_nn_latents[3][0]_a_n/16000/nn/results/svd_a.wav2vec_large.1000_0.0001_2_512.log
0.784536,0.681818,/home/workspace/data/wav2vec_large_nn_latents[6][0]_a_n/16000/nn/results/svd_a.wav2vec_large.1000_0.0001_2_1024.log
