Stream,Task,RecallPerClass
1,14,"[0.         0.         0.92907801 0.         0.55357143 0.46511628
 0.        ]"
1,15,"[0.13157895 0.33333333 0.952      0.28571429 0.67857143 0.39534884
 0.        ]"
1,15,"[0.         0.         0.984      0.         0.26785714 0.1627907
 0.        ]"
1,15,"[0.         0.         0.968      0.         0.58928571 0.13953488
 0.        ]"
1,15,"[0.         0.         0.992      0.         0.64285714 0.30232558
 0.        ]"
1,15,"[0.63157895 0.27777778 0.92       0.0952381  0.69642857 0.62790698
 0.        ]"
1,15,"[0.42105263 0.         0.968      0.         0.69642857 0.46511628
 0.        ]"
2,1,[0.61818182 0.55045872]
2,1,[0.92727273 0.11009174]
2,1,[0.98181818 0.01834862]
2,1,[0.90909091 0.17431193]
2,1,[1. 0.]
2,1,[0.52727273 0.59633028]
2,2,[0.         0.01960784 0.25454545 0.85964912]
2,2,[0.         0.         0.85454545 0.40350877]
2,2,[0.         0.         0.94545455 0.1754386 ]
2,2,[0.         0.         0.83636364 0.29824561]
2,2,[0. 0. 1. 0.]
2,2,[0.         0.05882353 0.43636364 0.57894737]
2,3,[0.         0.01960784 0.2        0.         0.93333333 0.25      ]
2,3,[0.         0.         0.98181818 0.         0.06666667 0.        ]
2,3,[0.         0.         0.87272727 0.         0.06666667 0.25      ]
2,3,[0.         0.         0.89090909 0.         0.13333333 0.25      ]
2,3,[0. 0. 1. 0. 0. 0.]
2,3,[0.   0.   0.6  0.   0.6  0.25]
2,4,[0.00141443 0.99908842]
2,4,[0.43847242 0.86052871]
2,4,[0.43988685 0.89152233]
2,4,[0. 1.]
2,4,[1. 0.]
2,4,[0.03677511 0.99270738]
3,1,[0.         0.88888889 0.         0.36363636]
3,1,[ 0.  0.  1.  0. nan]
3,1,[0.         0.         0.90909091 0.                nan]
3,1,[0.         0.33333333 0.         0.81818182]
3,1,[ 0.  0.  0.  0. nan]
3,1,[0.         0.33333333 0.         0.45454545]
3,2,[0.1754386  0.98275862]
3,2,[0.29824561 1.        ]
3,2,[0.24561404 1.        ]
3,2,[0.14912281 1.        ]
3,2,[0. 1.]
3,2,[0.14035088 0.98850575]
3,3,[0.         0.74033149 0.3029872  0.01502504        nan]
3,3,[0.         0.         0.92887624 0.                nan]
3,3,[0.         0.         0.91038407 0.                nan]
3,3,[0.         0.09392265 0.51066856 0.24373957        nan]
3,3,[ 0.  0.  0.  0. nan]
